bedroom,area,bath,balcony,price
4,2600,5,3,120
6,1020,6,,370
4,2785,5,3,295
3,2250,3,2,148
4,2800,5,2,380
1,660,1,0,48
8,600,9,,200
2,800,1,1,130
4,3010 - 3410,,,192
6,1407,4,1,150
3,4395,3,2,240
4,5700,5,3,650
8,3000,8,0,140
8,1350,7,0,85
3,500,3,2,100
6,4400,6,3,250
4,2957 - 3450,,,224.5
6,3000,7,2,210
6,710,6,3,160
4,1200,4,2,155
4,2894,4,1,245
3,1200,3,1,90
3,2400,2,1,150
4,3700,4,1,225
3,2497,3,2,140
2,276,3,3,23
7,950,7,0,115
3,1600,3,1,75
4,1200,4,0,210
8,5000,8,,250
6,1034,5,,185
4,3750,4,0,760
4,4200,4,2,420
3,1500,3,2,100
5,600,3,2,85
1,400,1,0,14
3,1846,3,2,300
4,2250,4,1,110
4,1200,5,,325
7,1800,7,1,250
3,1783,3,1,115
4,1736,6,0,190
6,3600,6,0,141
2,1500,2,1,115
5,3500,5,2,150
8,2600,8,2,180
3,1200,3,1,90
3,4050,3,2,280
2,1280,2,1,69
4,1200,2,0,95
5,1200,5,,170
4,2900,3,2,300
4,1600,4,0,52.8
2,900,2,1,110
4,4111,4,2,250
6,1450,6,0,250
3,1475,3,1,98
3,880,3,1,140
5,1200,5,2,180
2,1200,2,2,128
4,1200,4,3,165
4,2400,4,1,400
4,2650,4,2,198
2,1200,2,0,79
3,1350,2,0,140
3,11,3,2,74
3,2000,3,2,365
4,1500,4,2,230
2,1200,1,1,36
2,1200,2,1,65
2,1000,2,0,165
4,1200,2,0,125
2,550,1,1,62
6,1200,7,3,250
3,1350,3,2,150
2,1000,2,1,55
2,1200,2,0,60
6,1533,5,3,85
8,1200,8,,250
3,1000,4,3,110
4,11890,4,3,700
3,1800,3,2,252
4,1200,4,2,200
4,3309,4,3,325
4,1500,4,2,220
2,1440,2,0,95
4,1125,4,3,180
5,500,3,2,65
5,1200,5,2,190
4,2000,4,2,99
3,600,3,2,58
2,720,2,1,45
4,1200,3,1,165
1,700,1,0,41
4,660,4,2,90
4,8500,4,2,145
4,3000,5,1,275
5,3000,3,1,528
3,1500,3,1,61.95
3,2610,3,0,499
6,1300,6,0,145
2,1800,1,1,80
4,1780,4,3,175
4,2000,4,1,300
4,4144,4,3,315
4,2230,4,3,225
2,1200,2,0,65
1,540,1,1,36
2,1600,2,0,115
3,1125,4,1,70
4,2440,5,2,425
5,940,4,2,150
6,2160,5,1,250
4,1500,4,1,70
2,1050,1,,56
3,4000,3,1,660
9,4125Perch,9,,265
4,2200,4,2,200
3,1200,2,0,70
4,3090 - 5002,4,0,445
1,600,1,0,50
7,1200,7,,150
5,1200,5,0,100
4,2400,4,2,375
3,1200,3,2,140
4,1380,3,0,58
2,600,2,1,55
3,1500,3,1,139
3,1500,2,1,87
3,1092,2,1,98.5
3,2264,3,1,159
4,1200,3,2,85
5,1210,4,2,160
4,1200,4,0,220
1,600,1,1,60
4,4300,5,2,550
5,1000,4,1,160
4,2760,4,2,155
5,4360,4,1,90
9,600,9,3,190
6,900,7,,76
4,1200,4,0,90
6,600,4,3,65
7,1875,2,2,300
4,675,3,1,59
4,10961,4,1,80
6,1000,6,1,69
2,1200,2,1,150
4,1200,3,,95
4,5500,4,,600
8,600,4,1,72
6,1200,4,2,125
4,2400,4,1,640
5,900,3,2,80
3,1200,3,0,95
7,2500,6,2,115
5,3300,5,2,240
5,4500,5,1,415
3,1200,2,0,66
1,1000,1,1,70
2,2400,3,1,150
2,1410,1,0,233
3,2238,3,1,140
4,3800,4,3,239
4,1500,4,,180
2,884,1,0,58
9,1260,11,,290
5,1800,4,3,187
4,3606 - 5091,,,304
4,1080,3,1,155
4,3260,4,1,240
3,1500,2,2,95
4,3206,5,,270
4,700,4,,72
3,600,4,0,95
6,1200,4,2,225
5,1640,4,3,240
8,2400,6,3,125
4,315,4,2,90
1,1200,1,0,20
3,1200,3,1,56.12
2,2400,2,1,82
4,600,3,2,65
2,1400,2,0,60
1,5.31Acres,1,0,110
8,1200,7,2,240
6,1500,5,1,130
5,4200,5,2,225
4,1215,4,3,205
5,1600,4,0,125
6,3968,5,2,900
9,900,10,,170
3,1200,3,0,66
3,1500,3,1,170
4,915,4,1,54.9
6,3000,8,3,451
5,850,4,2,90
6,2400,8,3,450
3,1350,2,1,75
2,1200,2,1,45.84
9,3300,14,,500
2,30Acres,2,2,29.5
4,1200,4,0,135
4,6136,4,,560
3,1500,3,2,115
4,2400,5,,775
1,750,1,0,56.25
9,812,6,3,165
8,1120,8,3,145
7,1200,6,2,140
5,24,2,2,150
3,1500,3,2,62
5,1666,4,1,150
4,2400,4,3,200
6,1200,7,3,165
4,4000,4,2,675
4,6000,5,3,400
4,1200,4,3,120
4,1200,4,,244
1,1200,1,1,28
3,1500,3,3,100
5,1560,5,1,145
5,2900,5,2,90
3,1200,3,3,200
7,800,7,3,105
9,2300,8,1,210
4,5000,4,3,400
3,1200,3,1,68.4
4,600,5,2,60
4,14000,3,2,800
2,1240,2,1,60
6,2200,6,2,68
4,4800,4,3,525
4,3000,5,3,250
4,2150,4,1,80
3,2264,,,155
4,2325,4,1,120
6,1200,6,2,250
3,1200,3,1,130
3,2842,3,2,162
4,2750,4,0,220
4,3100,4,2,465
9,4050,7,1,1200
3,1500,2,1,100
8,840,7,2,195
3,1200,3,1,85
4,2000,4,0,120
3,1500,3,1,130
3,1840,3,1,69
2,1200,2,0,71
7,5000,7,,299
4,4346,5,,500
6,1200,6,3,180
5,1350,4,1,135
